publishedAt,authorDisplayName,textDisplay,likeCount
2024-08-20T14:23:52Z,@todayisfey1256,"Aaa pas kak nes bikin qna ini gak liat, padahal pengen ceritain salah satu urban legend lab di jurusan ku dulu",0
2024-08-20T07:06:02Z,@dinamustikashahara772,Apakah Sandy suka nonton KTJ &amp; Jurnalrisa juga ??? Haha bisa nih padahal ikut penelusuran .. mumpung masih di Indonesia ya 😁 soalnya doi secerdas itu aja masih bisa percaya dunia lain ..,0
2024-08-20T06:25:56Z,@arum99,LUCU BANGET BTS NYA 😂😂😂 RARA RIRI RURU GANTI CHANNEL AJA KAK 😅,0
2024-08-20T06:19:40Z,@arum99,Semua cerita jadi gak ngeri karna respon Sandy😅😅😅,0
2024-08-20T04:56:00Z,@ayukpajak5437,"Dulu jaman kuliah, aku ternyata duduk sama temen yg memang sensitif. Dan setiap hari² suci di bali dan kita ada kuliah malam, dia pasti kerasukan dan minta nari² 😂 Ini bener2 sering sampai aku sendiri hafal ciri2 dia otw kesurupan. Kalau dia udh mulai ngelamun, diem dan denggggg tiba2 jatuh. Dia bodynya mini tp setelah kerasukan beratnya bukan main 😢 bahkan 4 org laki2 ngangkat dia sampai bener2 kewalahan.. aku yg bantu pegang di bagian kaki aja bener2 berat rasanya. Padahal dia kecil bgt badannya BBnya jg 40kgan 😮 lah bisa seberat itu pas diangkat rame2. Biasanya tiap kesurupan kita bawa ke padmasana (tempat suci agama hindu) disana dia bersimpuh kemudian pelan2 mulai nari. Yaudah kita tungguin sebentar, sampai datang mangku yg jaga disana buat kasi dia air suci disana. Kadang malah muncul suara nenek2 dari dia sambil minta rokok gudang garam woy 😂 mana ada anak muda pake gudang garam 😂 terpaksa keluar kampus buat nyari 😂 kocag, tp memang benat2 terjadi 😂",0
2024-08-20T04:30:07Z,@SunBun-yh3hq,Ternyata sandy lucu🤣🤣,0
2024-08-20T02:57:45Z,@SonyaLGlory,banyak yg komen krn logicnya Sandy malah jadi lucu cerita horornya.. <br>klo ngobrol sama suamiku juga gtu 😅.<br>pernah dia kena eureup2 waktu tidur katanya.. begitu lepas paralize nya dia langsung berdiri marah2 ke udara 😂 marahin hantunya katanya.. ganggu org tidur aja <br>aq yg ga tau dia kena eureup2 mah kaget ngeliat dia nya awkawkawk,0
2024-08-20T02:32:50Z,@mwotcha,siapa pirs lopemu😮,0
2024-08-24T02:09:09Z,@Jay_Uu,SANDYYYY🤭🤭,0
2024-08-20T01:33:37Z,@adiraade178,"kaak? almh. ibuku sering banget kesurupan, itu bikin merinding banget. kaya pernah nyerupain kakek2 soalnya kaya mainin janggut gituu. terus matanya juga kosong...pernah juga ketawa ketawa kaya kuntii",0
